id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11520446,Gezellige kamer,16056459,Line,,Oostakker,51.10639,3.77011,Private room,49,5,46,2024-08-31,0.43,1,269,3,
11939475,Appartement on the ground floor with terras,60345129,Imschoot,,Elisabethbegijnhof - Papegaai,51.05253,3.71447,Entire home/apt,86,2,441,2024-12-09,4.19,1,308,66,
12103538,Living The Dream - A Hidden Gem,64426079,Bart,,Binnenstad,51.05424,3.72308,Entire home/apt,426,2,172,2024-10-20,1.63,2,287,22,
12199107,Welcome in our beautiful house,65585483,Annelies,,Sluizeken - Tolhuis - Ham,51.06212,3.72779,Private room,81,2,424,2024-12-15,3.99,1,256,43,
12423613,New duplex guesthouse,24194314,Caroline,,Dampoort,51.05547,3.74228,Entire home/apt,109,1,434,2024-12-08,4.19,1,338,67,
12669634,Apartment with sunny terrace!,68837626,Sien,,Muide - Meulestede - Afrikalaan,51.07465,3.72804,Entire home/apt,74,3,14,2024-12-01,1.74,1,251,14,
13112422,"Trendy & modern, historical center.",9526236,Marc,,Elisabethbegijnhof - Papegaai,51.05009,3.71677,Entire home/apt,,7,71,2024-11-17,0.69,2,3,6,
13289354,"Bright-light apartment, close to the station",74979203,Daan,,Stationsbuurt Noord,51.03898,3.71321,Entire home/apt,,2,219,2024-12-03,2.11,1,2,35,
13312163,Bright spacious house on top location,75234335,Barbara,,Oud Gentbrugge,51.04294200000001,3.762053430688459,Entire home/apt,165,2,17,2024-10-06,0.87,2,51,7,
13484023,Spacious room with private kitchen,996824,Annabell,,Macharius - Heirnis,51.04806,3.74288,Private room,,2,1,2022-07-17,0.03,5,0,0,
13509414,PROSPERITE BOAT,10970631,Mark And Lucia,,Muide - Meulestede - Afrikalaan,51.06529,3.73639,Entire home/apt,,1,129,2024-07-14,1.24,1,0,14,
13537299,hof van spanje 1,45355104,Paul,,Binnenstad,51.05652,3.72711,Entire home/apt,238,2,121,2024-11-29,1.21,2,79,22,
13561939,hof van spanje 2,45355104,Paul,,Binnenstad,51.05659,3.72694,Entire home/apt,238,2,58,2024-05-15,0.58,2,70,5,
13633848,"Cosy, stylish & bright 360° view penthouse",15123546,Tine,,Sluizeken - Tolhuis - Ham,51.06441,3.73017,Entire home/apt,145,3,179,2024-12-19,1.76,1,27,18,
13649596,Well situated apartment for 4-6 in centre Ghent,5883895,Annelore,,Macharius - Heirnis,51.0475,3.74428,Entire home/apt,110,60,307,2020-03-09,2.97,7,268,0,
13704632,Historic house in center Gent,15300260,Aron,,Binnenstad,51.05115,3.73138,Entire home/apt,105,5,361,2024-12-11,3.50,1,229,28,
13776154,Spacious & cosy house close to the city centre,27931962,Thomas,,Ledeberg,51.03432,3.74252,Entire home/apt,141,2,168,2024-12-15,1.69,1,128,86,
13827261,Spacious Top Floor,982271,Ben,,Elisabethbegijnhof - Papegaai,51.05843,3.7181,Private room,106,2,141,2024-12-08,1.37,1,224,14,
13839827,Spacious home with garden and free parking,17882332,Lori,,Oud Gentbrugge,51.04051,3.75582,Entire home/apt,,1,99,2024-08-07,0.96,1,0,4,
13888897,Designer suite with large tub close to the station,43570873,Peter,,Stationsbuurt Noord,51.038708,3.707811,Entire home/apt,103,2,316,2024-12-22,3.12,2,327,58,
14053072,Stylish room in a warmhearted home + city garden,1734521,Klaartje,,Brugse Poort - Rooigem,51.06341,3.70009,Private room,50,2,108,2024-11-30,1.07,1,160,27,
14227218,BnB Renee - bright apartment near station,86455568,Frederik,,Stationsbuurt Noord,51.04135,3.71615,Entire home/apt,77,12,40,2022-09-18,0.40,2,238,0,
14341353,Cozy house with a cat,79412603,Joao,,Gentbrugge,51.031452863526475,3.7627128558197187,Entire home/apt,130,5,0,,,1,25,0,
14541530,Modern gardenhouse (80m²) with terrace and garden,89977974,Erwin,,Mariakerke,51.0684,3.66373,Entire home/apt,111,2,270,2024-12-15,3.02,1,299,40,
14721207,Lascars' Guesthouse near city center,29497600,Kris,,Stationsbuurt Zuid,51.02828,3.72285,Entire home/apt,95,1,521,2024-12-15,5.31,1,39,80,
14815080,* Nice room in Ghent *,9593145,Helena,,Sluizeken - Tolhuis - Ham,51.06993,3.73059,Private room,50,2,34,2024-05-20,0.34,1,85,1,
14831444,Private studio Creativo + free bikes,92767961,Kitty,,Mariakerke,51.07894,3.69134,Private room,81,2,64,2024-08-20,0.64,1,286,5,
14877515,Room & ensuite bathroom near Ghent,93264204,Wim,,Dampoort,51.05066,3.76195,Private room,53,1,525,2024-12-11,5.22,1,261,83,
14928559,Rooftop apartment Ghent (facade works in progress),93854999,Yorick,,Ledeberg,51.03612,3.73679,Entire home/apt,92,35,14,2024-11-30,0.44,1,269,4,
14963441,"Cosy, light vintage design appartment",5883895,Annelore,,Macharius - Heirnis,51.04748,3.7444,Entire home/apt,103,30,154,2024-08-30,1.53,7,229,2,
15079137,Spacious loft right in the center of Ghent,7751611,Benny,,Binnenstad,51.05502127215621,3.7247063153442284,Entire home/apt,160,5,2,2024-04-06,0.12,1,117,1,
15098520,"Design Room ""Olga"" - B&B Graaf.",43889699,Kenzo,,Sluizeken - Tolhuis - Ham,51.05972,3.72093,Private room,84,3,4,2021-02-15,0.06,3,30,0,
15158816,"Flats with a soul, in the heart of Ghent.",96173226,Ingrid,,Binnenstad,51.0545,3.72114,Entire home/apt,180,2,14,2024-12-07,0.14,1,348,4,
15266842,Cosy large room near centre and public transport.,16979747,Tom,,Stationsbuurt Zuid,51.03231,3.71123,Private room,80,2,286,2024-12-10,2.92,1,348,35,
